,2018-01-01_0,2017-01-01_8,2000-01-01_0,2018-01-01_2,2018-01-01_4,2018-01-01_34,2018-01-01_18,2012-01-01_2,2016-01-01_8,2010-01-01_0,2018-01-01_24,2018-01-01_10,2017-01-01_22,2015-01-01_15,2016-01-01_29,1997-01-01_9,1996-01-01_5,1996-01-01_19,2011-01-01_21,2000-01-01_16
48,steuerfrei,spezial,sind,arbeitsentgelt,pächter,arbeitsgericht,abschlussprüfer,waisengeld,einer,infektion,auf,wenn,folgeantrag,eine,nicht,luftaufsicht,oder,sperrzeit,abkömmling,geschädigter
49,vorsteuerabzug,prospekts,überstellung,rente,nutzungsrechts,durch,nachschüsse,ruhestandes,fleisch,koch,bergbaubetrieb,beistandschaft,zurückgeschoben,montan,bauleitplänen,mautgebühr,sind,vertrauensmann,nach,abs
50,anschaffung,handel,hauptverfahrens,rentenwert,pfandrecht,kilowattstunde,geschäftsjahr,das,klinischen,robert,preußischen,abs,ausreisepflicht,über,bodenrichtwerte,eine,vom,angetrieben,bedacht,zuerkennung
51,bei,auf,fahrschule,buches,einer,madrider,treuhandanstalt,von,verkehr,bundeskanzler,berggesetz,ausgleichsrente,das,wahlvorschlag,städtebaulicher,durch,amtsblatt,bis,erbschein,vermögensabgabe
52,steuerklasse,eigenmittel,bewährung,alterskasse,hat,wird,liquidatoren,werden,über,durch,altgeräten,werden,passes,aktionärs,naturschutz,aeq,waisenrenten,zugmaschinen,letztwillige,spareinlagen
53,finanzamt,mit,über,vertragsärzte,mit,netzzugang,aufsichtsrat,überstaatlichen,bei,einer,sind,anzunehmenden,eine,hat,abs,schutzzone,rentner,ccm,das,endgrundbetrags
54,steuerpflichtig,abs,minder,kassenärztliche,ersteher,patentgericht,ertragslage,dienstgrad,bundesinstitut,bundespräsident,dem,jugendamts,einer,sacheinlage,das,über,lastenzuschüsse,werkstatt,pflichtteil,eur
55,gewinnerhöhend,kapitalpuffer,freiheitsstrafe,menschen,durch,absatz,offenlegung,beamter,satz,förderungshilfe,deponie,wohnform,dem,bezugsaktien,bebauungspläne,zur,ist,kubikzentimeter,amtssitz,zinszuschlags
56,ausschüttungen,sind,kann,integrationsamt,eines,diensteanbieter,anhang,grundgehaltes,nebenwirkungen,stimmumschlag,immissionen,genetische,fingerabdrücke,delegierten,bauliche,start,geldleistungen,kraftfahrzeugen,beurkundung,rechnungsjahr
57,anzahlungen,derivate,durch,medizinischen,finder,eeg,verlustrechnung,mit,schadorganismen,über,kombinierten,eine,asylantrags,grundkapital,ortsteile,vertragsgesetz,weiterzuzahlen,über,nacherbfolge,besatzungszone
58,mit,kunden,geldstrafe,auszubildende,wird,offshore,über,bibliothek,pharmazeutische,kapitän,satz,kann,pass,kann,ersatzlands,zugehörigem,satz,mit,geschäftswert,saarländischen
59,eine,bausparverträge,gerichtshofes,absatz,zur,ein,statut,dienstbehörde,absatz,kann,versteuerte,hat,auf,jahresabschluß,planungsverband,wenn,bei,fahrzeugs,nicht,ostschaden
60,angeschafft,markt,bis,übergangsgeld,grundschuld,blindenwaren,eine,nicht,schiedsspruch,bundeskanzlers,bergfreie,unterhalt,passersatzes,aktuar,raumordnung,einer,aus,wertmarke,beschwerte,werden
61,rücklage,dem,anstaltsleiter,leistungsträger,grundbuchs,beweisführer,lageberichts,zulagen,durch,bundesrichter,absatz,ein,lichtbild,ein,tier,kreuzung,zu,werden,erbteile,zonenschaden
62,wenn,kernkapital,gerichtshof,altersrente,grundstück,verhandlung,beginnende,besoldung,zusatzstoffe,bei,mit,zugewinns,bundesgebiet,sachübernahmen,gemeindegebiets,kann,dem,steuersatzes,nachlass,sind
63,steuererklärung,anlegern,angeschuldigten,arbeitslose,mietsache,erneuerbare,gesellschafter,besoldungsrecht,fachinformation,ein,deponien,anrecht,azr,gründungsstock,arten,luftverkehrs,arbeiter,arbeitsentgelts,ausgleichung,wirtschaftsguts
64,steueranmeldung,organisierten,maßregel,modellvorhaben,mietverhältnis,rechtsanwalt,abschreibungen,ruhensregelung,verschreibung,grundgesetzes,durch,junge,bundesagentur,gesellschaft,bepflanzungen,stammzellen,mit,pmk,auf,nicht
65,steuerbefreiung,bedeutenden,ein,wenn,versteigerung,satz,einzahlungen,laufbahngruppe,futtermitteln,bundesgesetze,entsorgung,elternteils,absatz,vorstands,baugebot,vorhabens,ermittelnde,abmeldung,erbfolge,freibeträge
66,betriebsstätte,einer,strafrestes,spitzenverband,abs,endnutzer,haftsumme,bis,stoff,europäischen,ionisierender,jugendliche,mit,gründer,mit,messgerät,von,sind,vermächtnisse,härtefonds
67,sonderausgaben,kreditnehmer,jugendrichter,bis,an,beklagte,umsatzerlöse,endstufe,nr,bundesrate,bergfreien,einer,personalausweis,gründungsprüfer,baugebiete,flugplätze,im,entladestelle,werden,hausratverluste
68,außenprüfung,eine,bei,steigerungszahl,teilfläche,netz,handelsregister,beamten,weintrauben,briefabstimmung,bergschadens,im,zur,kapitalrücklage,enteignenden,schutzbereichs,fremdrenten,äußerlich,so,bis
69,absatz,börsenrat,täters,landwirt,pfandes,hat,vereidigte,witwen,qualitätswein,anklage,kernmaterialien,ehe,bundesamtes,zur,washingtoner,seeamt,artikel,bei,anwaltsnotare,rechnungsjahren
70,sondervermögens,über,hat,über,pfandgläubigers,partei,einer,urlaub,stoffen,wenn,emissionen,genetischen,hat,handelsregister,biotopen,sortenliste,werden,straßenverkehrs,anwachsung,an
71,depotbank,werden,straftaten,an,darlehensgeber,beträchtlicher,auszuweisen,beurlaubung,zubereitung,finanzkraft,eine,güterstand,nachsucht,durch,umweltprüfung,verkehr,jugendwohlfahrt,dm,mißbilligung,zu
72,einer,gemischten,so,mitarbeitende,sind,wasch,ein,einer,diensterfindung,wird,einer,so,aufgehalten,pensionsfonds,bauleitplans,messgeräte,geldleistung,pm,ein,beihilfe
73,versteuernden,wertpapier,patentanwalts,wird,verbraucher,bei,wenn,versetzt,tierversuche,stimmzettel,feld,annehmende,satz,einer,zur,messgeräts,auslandsrenten,wenn,anwaltsnotar,ausgleichsämter
74,betriebstätte,kursmakler,nebenkläger,ambulanten,über,megawatt,als,dienstlichen,einfuhr,eines,festlandsockels,pfleger,asylanträge,satz,durch,bei,witwen,ausweise,miterben,ostgebiete
75,steuersachen,kreditinstitut,todesfolge,arbeitslosen,nacherfüllung,markenabkommen,inventur,hochschullehrer,wird,spenden,schädlichen,ehevertrag,ein,bei,vorkaufsrecht,hat,bundesgesetzbl,wird,amtsausübung,vom
76,steuerlagers,haftenden,höchstmaß,landesverbänden,bodenreform,parteien,bei,dienstort,wirkstoff,vermögensrechte,strahlenschutz,abkömmlingen,eines,abschlußprüfer,geschützten,kreuzungsanlage,erneuter,vom,beschwerten,teilbescheid
77,als,bankgeschäfte,haftbefehl,einzugsstelle,mieters,an,eigenkapital,beamte,gewebe,satz,erdgas,ehezeit,kann,treuhänder,eine,fluggast,umgestellt,antrieb,erbfall,altsparergesetz
78,einkünften,dass,täter,bergleute,staatsbank,eines,prüfer,ein,wenn,heimschaffung,steuerlager,pflegschaft,familiennachzug,aktienregister,enteignet,kreuzungen,an,eine,wenn,weltkriegs
79,an,professionelle,schöffen,als,bodenwert,frequenznutzung,provision,grundgehälter,pfändung,seemannsamt,stoffen,sind,bundesamt,nennbetrag,baulandsachen,montrealer,betrag,arbeitslos,zustatten,vertriebenen
80,zur,an,gesamtstrafe,sie,briefes,bis,rücklagen,ortszuschlages,gläubiger,schwimm,festlandsockel,verfahrenswert,lebensunterhalt,herrschenden,kann,halbmesser,zugrundelegung,arbeitsberatung,wird,hausrat
81,gleichmäßigkeit,übergeordnetes,satz,verletztengeld,darlehensnehmer,jüngerem,befreienden,dienstliche,betäubung,artikel,betriebsplan,mit,bundesgebiets,rückstellung,gemeinde,ein,arbeitsunfälle,zur,gebühr,grundvermögen
82,steueraufsicht,ein,verteidigers,heimbewohner,verkäufer,so,einzelkaufmanns,sind,naturhaushalt,rahmenplan,bodenschatz,letztwillige,fundpapier,eines,bauleitplanung,wird,dieses,beschäftigung,konsularbeamten,mit
83,abziehbaren,großkredite,eines,rentenwerts,frachtführer,grubengas,ingangsetzung,waisengeldes,homöopathische,dieses,verwertung,aufgabenkreises,passpflicht,pensionskassen,grundstück,satz,gilt,berufsleben,konsularbezirk,einheitswert
84,wird,wertpapieren,an,beitragssatz,vormerkung,energien,ausleihungen,stellenzulagen,charge,tierarzt,feldes,jugendarbeit,polizeilichen,geschäftsleiter,gewässers,zugtrassen,übergangsgeld,als,erbteils,härteleistungen
85,bis,zur,hilfsschöffen,renten,werk,kilowatt,bilanzsumme,satz,anmeldestelle,heuer,sammelband,volljährige,wird,einlagen,absatz,linienführung,januar,flächenaufdruck,eine,erben
86,vom,kredite,fahrzeugdaten,ein,verpfänder,rufnummer,zeitwert,dienstunfähig,spendenden,konvention,sondernummer,inobhutnahme,flüchtling,versicherten,lebensstätten,landeflächen,altersgelder,krafträder,amtsenthebung,bei
87,lieferungen,veränderlichem,einem,erwerbsfähigen,hauptschuldner,lizenz,zur,nebentätigkeit,kann,preußen,batterien,dispache,familiärer,vorstand,wenn,seelotsrevier,daß,baugewerbes,ermahnung,aufbaudarlehens
88,lohnsteuerkarte,stimmrechte,schuldspruch,durch,grundbuchamt,markensatzung,aktien,leistungsbezüge,altbanken,an,anlagen,gesamtguts,schengen,so,rechtszustand,luftsportgeräte,unfälle,arbeitsmarkt,ersatzerben,vollwaisen
89,sinne,bausparer,amtsträger,agentur,grundbücher,anwalt,bilanzstichtag,schutzzeit,einzelurkunden,als,oberfläche,mannes,aufenthalts,außenstehenden,vogelarten,wasser,rentenbetrag,gehbehindert,zur,als
90,brennerei,wirtschaftsraum,fahrverbot,publizisten,als,anbieter,buchprüfer,ruhegehalts,soweit,stimmbezirk,unterpositionen,zur,eingebürgert,mehrheitsbesitz,schönheit,eines,arbeitsunfall,fahrten,einer,das
91,unbeschränkt,leverage,restes,unfallkasse,miete,gegners,hat,planstellen,dass,stimmschein,biokraftstoff,durch,sind,ausgegeben,satz,eisenbahn,ortslohn,arbeitgeber,kann,schadensgruppen
92,nr,hat,strafkammer,vertragsarzt,vorschriften,als,nachschüssen,anwärterbezüge,ein,gesetzesvorlage,strahlen,ehegatte,ausweisung,delegierte,baugesuchs,luftraum,sich,fahrzeugscheins,hat,sozialzuschlag
93,brennrecht,kann,medizinprodukte,mitarbeitenden,gentechnische,schutzdauer,volkseigene,dienstherr,wein,krankheiten,trier,eines,blaue,als,wildlebender,berührten,wohngeldgesetz,ein,anwärterdienst,einkünfte
94,kapitalerträgen,derivaten,gefangener,beschäftigung,grundstücks,arbeitssachen,tätigkeits,bei,hat,bis,vertreiber,standesamt,visa,treuhänders,planungen,luftfahrzeugen,gesetzes,fernverkehr,im,altsparanlagen
95,ein,kreditwesen,absatz,leistungen,einem,patentamts,vorstands,dienstfähigkeit,blutprodukten,aufzügen,menge,zugewinn,paßersatzes,jahresüberschuß,öffentlichkeits,soweit,beiträgen,fahrzeugklasse,erbscheins,existenzaufbau
96,steuerpflicht,zielfonds,nr,eurojust,gebäude,dass,prinzipals,eine,bringt,übertragbarer,erdölverordnung,scheidung,reiseausweises,wird,festsetzungen,luftraums,zehntel,steuersatz,zuwendung,wegnahme
97,unternehmer,einem,urteilsgründe,landwirte,eigentümer,haushaltskunden,prüfungsrechts,offiziere,laborpraxis,filme,gl,jungen,innern,absatz,missstände,vorhaben,auf,rückkehrhilfe,kundig,saarland
98,bundesfinanzhof,anlagebuch,prostitution,hat,bei,beweisaufnahme,kann,entpflichteten,pharmakologisch,gerichtshofs,grundeigenen,güterstands,vollziehbar,bedeutenden,straßenbaulast,sie,nicht,km,erbrecht,lebensunterhalt
99,ausschüttung,handelssystems,munition,wartezeit,vertragsteil,schriftsatz,passivseite,wird,sachkenntnis,tierärztliche,nebengewinnungs,schöneberg,visumverfahren,wahlorgan,enteignende,absatz,kind,rahmenfrist,verkäufer,sparerschaden
100,durch,informationen,strafkammern,erwerbsfähige,nießbrauchs,strommenge,so,als,erzeugnisse,senats,verkehrsanlage,amtspflegschaft,einreist,basistarif,über,basissaatgut,witwerrente,fahrzeugschein,als,vorzugsrente
101,buchwert,bis,beleidigung,gilt,zahler,prozessgericht,jahresabschluss,zurückgelegt,kosmetische,heimatlosen,betriebsplanes,verein,über,geschäftsplan,bauleitplan,schiffahrtsamt,bis,arbeitsamts,notaren,erfindungen
102,hat,teilfonds,führerschein,bezieher,zahlungsvorgang,anrufe,bis,dienstherren,vitro,hat,fachkunde,mann,asylgesetzes,obliegenheit,ein,bundeseigenen,deutsche,einer,beurkundungen,wird
103,anschaffungs,aufnahmestaates,sich,datenstelle,rentenschuld,vergabekammern,eines,absatz,leiden,sie,schädliche,wird,seriennummer,unternehmen,oberirdische,verkehrsweg,das,durch,durch,geldwerten
104,zollkodex,bei,als,schiedsstelle,sich,rechtsstreits,durch,probezeit,schiedsgericht,absatz,über,familienpflege,sich,bis,planungsträger,als,mark,halterwechsel,ersatzerbe,sowjetischen
105,mitunternehmer,kreditinstituts,auch,ärzte,forderung,herkunftsangabe,geschäftsführer,trennungsgeld,bis,grundrechte,holsteinischen,über,europäischen,stückaktien,meeresgewässer,fluggästen,wohngeld,kilogramm,anfall,anzusetzen
106,aus,handelssystem,aufbauseminar,budgets,wandelung,sie,geschäftszweig,wenn,wertansatz,rahmenplans,tiefbohrungen,abkömmling,setzende,unterbewertet,eigentümer,luftfahrtgerät,hilfsmaßnahmen,ausfallstunden,eines,umsiedler
107,veranlagung,abschlussprüfer,versuch,arbeitsausfall,formwechsel,arbeitsgerichte,gezeichneten,wehrdienst,tierseuchen,ausländer,gewinnung,hilfeempfänger,nr,wahlvorschläge,sträuchern,lotsgelder,anwendung,arbeitszeit,ausschlagen,reparations
108,steuerfreien,anlageberatung,führerscheins,pflegesätze,ansehung,mahnbescheid,bildes,amtsbezeichnung,wirbeltieren,parteitag,kohle,bei,einem,direktoren,populationen,starten,angestellten,kraftfahrzeuge,abkömmlinge,restitutions
109,einfuhr,richtlinie,beschlagnahme,nr,belasteten,verfahren,verschleiert,eingangsamt,tierarzt,prophylaxe,hessischen,aufgabenkreis,bei,nachschüsse,einer,luftverkehr,anzupassen,wöchentliche,todeszeit,aufgebotsfrist
110,gewinne,handelsbuchs,statuts,knappschaft,bebaut,briefsendungen,absatz,amtszulage,zulassung,vom,montabaur,güterstandes,bis,deckungsstocks,oberirdischen,an,sie,unbesetzten,abs,zuerkannte
111,teilwert,sinne,vollzugsbehörde,kann,verwendungen,einem,sie,gilt,erzeugnis,musterung,steuererklärung,sozialdaten,politischer,hauptaktionär,eines,nr,rentenantrags,nr,ausgründende,ein
112,nomenklatur,bundesbank,zubereitungen,sowie,er,klassifizierer,fehlbetrags,höchstgrenze,an,freiem,steuerfrei,eheschließung,als,herrschende,streng,flughafens,abhängigen,kalendertage,mit,durch
113,abnutzbaren,ksa,sie,zum,verpächters,europäischen,wird,einsatzunfalls,versuche,bundesrecht,heizstoff,geburtsnamen,ausweisersatz,einem,naturhaushalts,bis,eine,fahrzeughalter,sind,pflegezulage
114,gilt,eines,vernehmung,wertguthaben,ersitzung,rufnummern,statuts,witwe,proben,veranstalter,steueranmeldung,erwerbsgeschäft,grunddaten,beschlußfassung,wasserabflusses,neubau,zurückgelegt,satz,über,bausparguthaben
115,letztmals,durch,subvention,ost,reisepreis,einspeisung,assoziierten,besoldungs,schiedsrichter,sonderbedarfs,bergschaden,nachlaßgericht,reiseausweis,rücklage,überbaubaren,reisegepäck,zahlenmäßig,arbeitnehmer,inventars,erwerbsunfähig
116,finanzgericht,zahlungsdienste,strafbar,soweit,gesetzbuche,netzanschluss,aktivierte,einsatzunfall,blut,abstimmungstag,erdölgesetz,elterlichen,biometrischen,deckungsstock,bebaute,standardsaatgut,betrags,entsendestaates,beschwert,spareinlage
117,investmentfonds,nr,bundesinstitut,mitarbeitender,gastwirt,strommengen,endende,dienstgrades,reichsmark,bunde,hauptzollamt,standesbeamten,dass,an,bebauungsplänen,zivilluftfahrt,gesetzlichen,umkreises,zusatzgebühr,tochter
118,zerlegung,feeder,strafarrest,sich,hauptschuldners,soweit,aktiengesetzes,versetzung,sponsor,bundesorgans,förderabgabe,vereinsbetreuer,zuerkennung,herrschendes,dass,europäischen,berufshilfe,aufliegelast,bei,weggenommen
119,einem,wenn,strafaussetzung,aus,gutes,schriftsätze,haftenden,altersgrenze,bankgläubiger,schutzwaffen,gerätebatterien,wohl,drittstaat,abwickler,rückbau,so,nr,stützlast,eintritte,kontrollgebiet
120,abnehmer,großkredit,ausgenommener,haushaltshilfe,vorkaufsrecht,hauptpartei,nennbetrag,fortgeltenden,arzneilich,aufkommen,nukleare,dass,aufnahmequote,ersatzmitglied,austauschland,antragstag,kalenderjahren,krankengeld,urschrift,schadensgruppe
121,wirtschaftsguts,kreditinstitute,fahrschüler,kassenart,dauerwohnrecht,speicheranlagen,auch,bundeswehr,hälterung,tierarztes,radioaktive,gegenvormundes,reisedokument,eingegliederten,baulasten,aufgegebenes,landwirte,tarifliche,gebührenfrei,innerdeutscher
122,steuerklassen,handelsbuch,besserung,beitragszahlung,teilhaber,aus,einzelkaufleute,vorbemerkung,menschen,läge,schmierstoffe,ehesache,daten,arbeitnehmer,beitragsfähige,lotstätigkeit,anpassung,wöchentlichen,fachprüfung,ungeschützten
123,hauptzollamt,schwellen,jugendarrestes,landabgaberente,pachtverhältnis,rechtsstreit,anlagevermögen,unfallfürsorge,als,gesetzes,erdöl,eheschließenden,unerlaubt,kapitalmehrheit,enteignete,schifffahrtsamt,ohne,sie,vorlesens,ständigen
124,eines,instituten,anklage,auch,gebots,sich,anlagevermögens,vom,wirbeltier,plenum,nr,sorge,humanitären,hervorgehenden,gemeinbedarf,flächen,so,beitragspflicht,schenkung,abgeltungssumme
