1994-01-01 | Size of misc in tokens: 1321905
      6613 | Schiffsregisterordnung
      6472 | Gesetz über Wasser- und Bodenverbände
      6448 | Gesetz über die strukturelle Anpassung der Landwirtschaft an die soziale und ökologische Marktwirtschaft in der Deutschen Demokratischen Republik
      6373 | Gesetz über die politischen Parteien
      6200 | Handelsgesetzbuch / Zweites Buch Handelsgesellschaften und stille Gesellschaft
      6154 | Gesetz über die Feststellung der Zuordnung von ehemals volkseigenem Vermögen
      6126 | Gesetz über die Rechtsverhältnisse der Mitglieder des Deutschen Bundestages
      5883 | Gesetz über Maßnahmen zur Verbesserung der Agrarstruktur und zur Sicherung land- und forstwirtschaftlicher Betriebe
      5870 | Gesetz über die Deutsche Bundesbank
      5591 | Gesetz über die Gründung einer Deutsche Bahn Aktiengesellschaft
      5545 | Heimarbeitsgesetz
      5498 | Gesetz zur Ausführung zwischenstaatlicher Anerkennungs- und Vollstreckungsverträge in Zivil- und Handelssachen
      5481 | Gesetz zur Regelung der Rechtsverhältnisse nicht mehr bestehender öffentlicher Rechtsträger
      5393 | Gesetz über die Wahlen zu Landtagen in der Deutschen Demokratischen Republik
      5347 | Gesetz über die Angelegenheiten der Vertriebenen und Flüchtlinge
      5187 | Zivilprozessordnung / Drittes Buch Rechtsmittel
      5103 | Gesetz zur Überführung der Ansprüche und Anwartschaften aus Zusatz- und Sonderversorgungssystemen des Beitrittsgebiets
      5051 | Bundesärzteordnung
      5050 | Gesetz zur Zusammenführung und Neugliederung der Bundeseisenbahnen
      5017 | Gesetz über die Abgeltung von Besatzungsschäden
      4975 | Gesetz über die Wahl der Abgeordneten des Europäischen Parlaments aus der Bundesrepublik Deutschland
      4739 | Gesetz über die Berufe in der Krankenpflege
      4709 | Fremdrentengesetz
      4568 | Gesetz gegen den unlauteren Wettbewerb
      4501 | Gesetz zur Erhaltung des Waldes und zur Förderung der Forstwirtschaft
      4488 | Gesetz über die Statistik für Bundeszwecke
      4481 | Gesetz über die Kapitalerhöhung aus Gesellschaftsmitteln und über die Verschmelzung von Gesellschaften mit beschränkter Haftung
      4471 | Drittes Gesetz zur Neuordnung des Geldwesens
      4426 | Gesetz über die Abwicklung des Reichsnährstands und seiner Zusammenschlüsse
      4409 | Hypothekenbankgesetz
      4399 | Gesetz über das Inverkehrbringen von und den freien Warenverkehr mit Bauprodukten zur Umsetzung der Richtlinie 89/106/EWG des Rates vom 21. Dezember 1988 zur Angleichung der Rechts- und Verwaltungsvorschriften der Mitgliedstaaten über Bauprodukte und anderer Rechtsakte der Europäischen Gemeinschaften
      4361 | Gesetz zur Sicherstellung von Arbeitsleistungen für Zwecke der Verteidigung einschließlich des Schutzes der Zivilbevölkerung
      4337 | Gesetz über die Ausübung der Zahnheilkunde
      4303 | Grunderwerbsteuergesetz
      4228 | Scheckgesetz
      4170 | Gesetz über die Zusammenarbeit des Bundes und der Länder in Angelegenheiten des Verfassungsschutzes und über das Bundesamt für Verfassungsschutz
      4164 | Gesetz zur Abwicklung der unter Sonderverwaltung stehenden Vermögen von Kreditinstituten, Versicherungsunternehmen und Bausparkassen
      4091 | Gesetz über die Schiedsstellen in den Gemeinden
      4041 | Gesetz über das Apothekenwesen
      4018 | Erstes Gesetz zur Vereinheitlichung und Neuregelung des Besoldungsrechts in Bund und Ländern
      4007 | Gesetz über die Sonderung unvermessener und überbauter Grundstücke nach der Karte
      3962 | Gesetz über den Schutz des Arbeitsplatzes bei Einberufung zum Wehrdienst
      3781 | Gesetz über die Rehabilitierung und Entschädigung von Opfern rechtsstaatswidriger Strafverfolgungsmaßnahmen im Beitrittsgebiet
      3749 | Gesetz zur Ergänzung des Gesetzes über die Mitbestimmung der Arbeitnehmer in den Aufsichtsräten und Vorständen der Unternehmen des Bergbaus und der Eisen und Stahl erzeugenden Industrie
      3723 | Gesetz über Fernmeldeanlagen
      3716 | Gesetz über die Reisekostenvergütung für die Bundesbeamten, Richter im Bundesdienst und Soldaten
      3713 | Höfeordnung
      3695 | Kündigungsschutzgesetz
      3634 | Melderechtsrahmengesetz
      3634 | Gesetz über den Finanzausgleich zwischen Bund und Ländern
      3628 | Gesetz über Hilfsmaßnahmen für Personen, die aus politischen Gründen außerhalb der Bundesrepublik Deutschland in Gewahrsam genommen wurden
      3604 | Gesetz zur Neuregelung des Fremdrenten- und Auslandsrentenrechts und zur Anpassung der Berliner Rentenversicherung an die Vorschriften des Arbeiterrentenversicherungs-Neuregelungsgesetzes und des Angestelltenversicherungs-Neuregelungsgesetzes
      3582 | Gesetz über das Erlöschen der Familienfideikommisse und sonstiger gebundener Vermögen
      3570 | Gesetz zur Regelung des öffentlichen Vereinsrechts
      3566 | Erstes Gesetz zur Überleitung von Lasten und Deckungsmitteln auf den Bund
      3527 | Gesetz zum Schutze der erwerbstätigen Mutter
      3481 | Gaststättengesetz
      3474 | Gesetz über das Seelotswesen
      3461 | Heimgesetz
      3459 | Paßgesetz
      3446 | Gesetz zur Regelung der Verbindlichkeiten nationalsozialistischer Einrichtungen und der Rechtsverhältnisse an deren Vermögen
      3440 | Gesetz über eine Volks-, Berufs-, Gebäude-, Wohnungs- und Arbeitsstättenzählung
      3391 | Gesetz über den Verkehr mit Vieh und Fleisch
      3382 | Gesetz über bauliche Maßnahmen zum Schutz der Zivilbevölkerung
      3276 | Grundbuchbereinigungsgesetz
      3240 | Gesetz über den Status und die Organisation der Sparkassen
      3231 | Gesetz über Maßnahmen auf dem Gebiete des Grundbuchwesens
      3228 | Gesetz über die Statistik im Produzierenden Gewerbe
      3190 | Zweites Gesetz zur Neuregelung des Besoldungsrechts
      3153 | Verbraucherkreditgesetz
      3117 | Gesetz zur Regelung der Wiedergutmachung nationalsozialistischen Unrechts in der Sozialversicherung
      3103 | Reichssiedlungsgesetz
      3065 | Gesetz betreffend die gemeinsamen Rechte der Besitzer von Schuldverschreibungen
      3043 | Gesetz zur Neuregelung der hüttenknappschaftlichen Pensionsversicherung im Saarland
      3042 | Einführungsgesetz zum Gerichtsverfassungsgesetz
      2977 | Gesetz über die Wahrnehmung von Urheberrechten und verwandten Schutzrechten
      2959 | Gesetz über die Fortzahlung des Arbeitsentgelts im Krankheitsfall
      2958 | Gesetz über die elektromagnetische Verträglichkeit von Geräten
      2943 | Verschollenheitsgesetz
      2932 | Gesetz über die Finanzverwaltung
      2878 | Gesetz zur Strukturreform im Gesundheitswesen
      2873 | Gesetz über das Postwesen
      2833 | Gesetz über die Regelung der Rechtsverhältnisse bei baulichen Maßnahmen auf ehemals in Anspruch genommenen Grundstücken
      2792 | Gesetz über die Statistiken der öffentlichen Finanzen und des Personals im öffentlichen Dienst
      2779 | Gesetz zur näheren Regelung der Entschädigungsansprüche für Auslandsbonds
      2738 | Gesetz über amtlich anerkannte Sachverständige und amtlich anerkannte Prüfer für den Kraftfahrzeugverkehr
      2733 | Gesetz über die Rechtsverhältnisse der Mitglieder der Bundesregierung
      2701 | Gesetz zur Regelung von Ansprüchen aus Lebens- und Rentenversicherungen
      2677 | Gesetz über die Entschädigung der Mitglieder des Bundestages
      2652 | Versicherungsteuergesetz
      2618 | Berufsbildungsförderungsgesetz
      2590 | Gesetz über das Zollkontingent für feste Brennstoffe 1971, 1972, 1973, 1974, 1975 und 1976
      2578 | Gesetz zur Regelung der Rechtsverhältnisse des Reichsvermögens und der preußischen Beteiligungen
      2578 | Gesetz zur Sicherung der Energieversorgung
      2566 | Gesetz zu dem Abkommen zwischen den Parteien des Nordatlantikvertrags vom 19. Juni 1951 über die Rechtsstellung ihrer Truppen und zu den Zusatzvereinbarungen vom 3. August 1959 zu diesem Abkommen
      2558 | Gesetz über Abgaben für das Einleiten von Abwasser in Gewässer
      2422 | Gesetz über Altschuldenhilfen für Kommunale Wohnungsunternehmen, Wohnungsgenossenschaften und private Vermieter in dem in Artikel 3 des Einigungsvertrages genannten Gebiet
      2410 | Gesetz über die Erhaltung der Gräber der Opfer von Krieg und Gewaltherrschaft
      2393 | Gesetz über die Beschränkung von Grundeigentum für die militärische Verteidigung
      2391 | Gesetz über die Spaltung der von der Treuhandanstalt verwalteten Unternehmen
      2389 | Gesetz über die richterliche Vertragshilfe
      2383 | Gesetz über technische Assistenten in der Medizin
      2374 | Gesetz über das Flaggenrecht der Seeschiffe und die Flaggenführung der Binnenschiffe
      2353 | Gesetz zur Konsolidierung der Arbeitsförderung
      2336 | Gesetz zur Förderung von Vorruhestandsleistungen
      2331 | Gesetz zum Abschluß der Währungsumstellung
      2330 | Gesetz über die Entschädigung von Zeugen und Sachverständigen
      2320 | Reichsschuldbuchgesetz
      2318 | Wehrbeschwerdeordnung
      2316 | Gesetz über die Aufgaben des Bundes auf dem Gebiet der Binnenschiffahrt
      2316 | Ausführungsgesetz zum deutsch-österreichischen Konkursvertrag
      2241 | Gesetz zur Privatisierung und Reorganisation des volkseigenen Vermögens
      2240 | Zivilprozessordnung / Siebentes Buch Mahnverfahren
      2233 | Gesetz über die Beförderung gefährlicher Güter
      2215 | Hinterlegungsordnung
      2191 | Gesetz zur vorläufigen Regelung des Tiefseebergbaus
      2185 | Gesetz über gebäude- und wohnungsstatistische Erhebungen
      2171 | Gesetz zur Durchführung einer Repräsentativstatistik über die Bevölkerung und den Arbeitsmarkt
      2153 | Wertpapier-Verkaufsprospektgesetz
      2142 | Gesetz über die Bildung und Tätigkeit von Stiftungen
      2140 | Gesetz über den Schutz der Topographien von mikroelektronischen Halbleitererzeugnissen
      2138 | Bundes-Apothekerordnung
      2131 | Gesetz über die Ermächtigung zum Erlaß von Rechtsverordnungen im Rahmen der Verordnung (EWG) Nr. 1408/71 des Rates vom 14. Juni 1971 zur Anwendung der Systeme der sozialen Sicherheit auf Arbeitnehmer und deren Familien, die innerhalb der Gemeinschaft zu- und abwandern, und der Verordnung (EWG) Nr. 574/72 des Rates vom 21. März 1972 über die Durchführung der Verordnung (EWG) Nr. 1408/71
      2092 | Gesetz zur Überleitung von Lasten und Deckungsmitteln vom Saarland auf den Bund
      2085 | Umwelthaftungsgesetz
      2029 | Gesetz über die Förderung des wissenschaftlichen Nachwuchses an den Hochschulen
      2028 | Erstes Gesetz zur Reform des Strafrechts
      2026 | Gesetz über die Errichtung eines zentralen Fonds zur Absatzförderung der deutschen Land- und Ernährungswirtschaft
      2023 | Gesetz zu dem Abkommen vom 16. Mai 1991 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Union der Sozialistischen Sowjetrepubliken über die Beendigung der Tätigkeit der Sowjetisch-Deutschen Aktiengesellschaft Wismut
      2019 | Regelung über Maßstäbe und Grundsätze für den Personalbedarf in der stationären Krankenpflege (Artikel 13 des Gesetzes zur Sicherung und Strukturverbesserung der gesetzlichen Krankenversicherung - Gesundheitsstrukturgesetz)
      2018 | Gesetz zur Regelung von Fragen der Staatsangehörigkeit
      1989 | Verfahrensordnung für Höfesachen
      1974 | Gesetz über die Eingliederung des Saarlandes
      1968 | Gesetz über Finanzhilfen des Bundes zur Verbesserung der Verkehrsverhältnisse der Gemeinden
      1958 | Gesetz über den Einfluß von Eignungsübungen der Streitkräfte auf Vertragsverhältnisse der Arbeitnehmer und Handelsvertreter sowie auf Beamtenverhältnisse
      1949 | Gesetz über die Liquidation der Deutschen Reichsbank und der Deutschen Golddiskontbank
      1914 | Zweites Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
      1903 | Gesetz über die Gewährleistung von Belegungsrechten im kommunalen und genossenschaftlichen Wohnungswesen
      1895 | Gesetz über die Anpassung von Dienst- und Versorgungsbezügen in Bund und Ländern 1992
      1888 | Gesetz zur vorläufigen Regelung des Rechts der Industrie- und Handelskammern
      1883 | Gesetz zur Regelung der Seefischerei und zur Durchführung des Fischereirechts der Europäischen Union
      1880 | Feuerschutzsteuergesetz
      1878 | Bestimmungen über die Beförderung von Reisenden und ihrem Gepäck auf See (Anlage zu § 664 des Handelsgesetzbuchs)
      1839 | Gesetz über die Ausübung der Berufe des Masseurs, des Masseurs und medizinischen Bademeisters und des Krankengymnasten
      1827 | Auslandskostengesetz
      1823 | Gesetz über die Lohnstatistik
      1819 | Gesetz über Kreuzungen von Eisenbahnen und Straßen
      1779 | Gesetz über Titel, Orden und Ehrenzeichen
      1745 | Gesetz über die Errichtung einer Zusatzversorgungskasse für Arbeitnehmer in der Land- und Forstwirtschaft
      1738 | Gesetz zur Sicherung des Steinkohleneinsatzes in der Elektrizitätswirtschaft
      1735 | Reichsversicherungsordnung / Zweites Buch Krankenversicherung
      1727 | Gesetz über das gerichtliche Verfahren in Binnenschiffahrtssachen
      1721 | Gesetz über die Änderung der Vornamen und die Feststellung der Geschlechtszugehörigkeit in besonderen Fällen
      1715 | Gesetz über die Errichtung der Bundesversicherungsanstalt für Angestellte
      1698 | Fünftes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1962
      1678 | Gesetz über das gerichtliche Verfahren bei Freiheitsentziehungen
      1677 | Gesetz zur Einführung von Beamtenrecht des Bundes im Saarland
      1673 | Gesetz über steuerliche Maßnahmen bei der Stillegung von Steinkohlenbergwerken
      1672 | Gesetz zur Überleitung von Bundesrecht nach Berlin (West)
      1664 | Gesetz zur Gleichstellung mit Zusatzversorgungssystemen des Beitrittsgebiets
      1658 | Gesetz zur Änderung und Ergänzung des Dienststrafrechts
      1641 | Viertes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1961
      1640 | Ausführungsgesetz zu dem Übereinkommen vom 5. April 1973 zwischen dem Königreich Belgien, dem Königreich Dänemark, der Bundesrepublik Deutschland, Irland, der Italienischen Republik, dem Großherzogtum Luxemburg, dem Königreich der Niederlande, der Europäischen Atomgemeinschaft und der Internationalen Atomenergie-Organisation in Ausführung von Artikel III Abs. 1 und 4 des Vertrages vom 1. Juli 1968 über die Nichtverbreitung von Kernwaffen (Verifikationsabkommen)
      1639 | Gesetz über den Bau und den Betrieb von Versuchsanlagen zur Erprobung von Techniken für den spurgeführten Verkehr
      1637 | Handelsklassengesetz
      1632 | Gesetz über die Anpassung von Dienst- und Versorgungsbezügen in Bund und Ländern 1991
      1575 | Gesetz zur Ausführung des Vertrages vom 19. Juli 1966 zwischen der Bundesrepublik Deutschland und der Tunesischen Republik über Rechtsschutz und Rechtshilfe, die Anerkennung und Vollstreckung gerichtlicher Entscheidungen in Zivil- und Handelssachen sowie über die Handelsschiedsgerichtsbarkeit
      1566 | Gesetz über den Wehrbeauftragten des Deutschen Bundestages
      1555 | Gesetz über die weitere Finanzierung von Maßnahmen zur Verbesserung der Verkehrsverhältnisse der Gemeinden und des Bundesfernstraßenbaus
      1536 | Viertes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
      1522 | Gesetz zur Vereinfachung und Beschleunigung registerrechtlicher und anderer Verfahren
      1518 | Aktiengesetz / Zweites Buch Kommanditgesellschaft auf Aktien
      1510 | Einführungsgesetz zum Versicherungsvertragsgesetz
      1501 | Gesetz zur Abwicklung und Entflechtung des ehemaligen reichseigenen Filmvermögens
      1497 | Gesetz zur Einsparung von Energie in Gebäuden
      1497 | Gesetz über den militärischen Abschirmdienst
      1496 | Zweites Gesetz zur Verbesserung der Haushaltsstruktur
      1493 | Gesetz zur Förderung der Verwendung von Steinkohle in Kraftwerken
      1472 | Gesetz zur Einführung des Bundesversorgungsgesetzes im Saarland
      1462 | Telegraphenwegegesetz
      1445 | Gesetz zur Neuordnung der Gemeindefinanzen
      1442 | Siebentes Gesetz zur Änderung des Bundesbesoldungsgesetzes
      1433 | Bundesbesoldungsordnung C (Anlage II des Bundesbesoldungsgesetzes)
      1425 | Gesetz über die Rückzahlung der einbehaltenen Beiträge zur Krankenversicherung der Rentner
      1424 | Gesetz zur Abwicklung der landwirtschaftlichen Entschuldung
      1423 | Gesetz über die Errichtung eines Erblastentilgungsfonds
      1414 | Gesetz zur Neuordnung der Pensionskasse Deutscher Eisenbahnen und Straßenbahnen
      1408 | Gesetz zur Errichtung einer Stiftung "Preußischer Kulturbesitz" und zur Übertragung von Vermögenswerten des ehemaligen Landes Preußen auf die Stiftung
      1405 | Gesetz über die Rechtsstellung heimatloser Ausländer im Bundesgebiet
      1404 | Mindesturlaubsgesetz für Arbeitnehmer
      1390 | Tarifvertragsgesetz
      1389 | Gesetz über Umweltstatistiken
      1388 | Gesetz über den Beruf der Rettungsassistentin und des Rettungsassistenten
      1379 | Drittes Gesetz zur Änderung beamtenrechtlicher und besoldungsrechtlicher Vorschriften
      1370 | Gesetz über Personalausweise
      1364 | Wahlprüfungsgesetz
      1361 | Gesetz zur Sicherung und vorläufigen Fortführung der Datensammlungen des "Nationalen Krebsregisters" der ehemaligen Deutschen Demokratischen Republik
      1360 | Gesetz über das Verfahren für die Erstattung von Fehlbeständen an öffentlichem Vermögen
      1358 | Gesetz zur Änderung des Bewertungsgesetzes
      1356 | Gesetz über die Statistik des grenzüberschreitenden Warenverkehrs
      1335 | Verwaltungs-Vollstreckungsgesetz
      1331 | Gesetz zur Dämpfung der Ausgabenentwicklung und zur Strukturverbesserung in der gesetzlichen Krankenversicherung
      1329 | Entschädigungsrentengesetz
      1311 | Drittes Umstellungsergänzungsgesetz
      1302 | Gesetz zur Sicherung des Unterhalts von Kindern alleinstehender Mütter und Väter durch Unterhaltsvorschüsse oder -ausfalleistungen
      1287 | Gesetz zu den drei Abkommen vom 3. April 1958 zwischen der Bundesrepublik Deutschland und der Portugiesischen Republik über deutsche Vermögenswerte in Portugal, auf dem Gebiet des gewerblichen Rechtsschutzes und über die Liquidation des früheren deutsch-portugiesischen Verrechnungsverkehrs
      1286 | Gesetz zur Förderung der anderweitigen Verwendung von Berufssoldaten und Beamten
      1283 | Gesetz über den Holzabsatzfonds
      1282 | Viertes Gesetz zur Änderung des Bundesbesoldungsgesetzes
      1275 | Gesetz über die Verteilung des auf die Bundesrepublik Deutschland entfallenden Anteils an der von Israel für das deutsche weltliche Vermögen in Israel nach dem Abkommen vom 1. Juni 1962 gezahlten Entschädigung
      1269 | Gesetz über die Annahme als Kind und zur Änderung anderer Vorschriften
      1252 | Truppenzollgesetz 1962 Gesetz zur Ausführung der Zoll- und steuerrechtlichen Bestimmungen des Abkommens zwischen den Parteien des Nordatlantikvertrags vom 19. Juni 1951 über die Rechtsstellung ihrer Truppen (NATO-Truppenstatut) und des Zusatzabkommens vom 3. August 1959 zu diesem Abkommen hinsichtlich der in der Bundesrepublik Deutschland stationierten ausländischen Truppen
      1230 | Gesetz zur Vereinheitlichung der Fideikommißauflösung
      1212 | Gesetz über eine staatliche Vorauszahlung an durch Straftaten geschädigte Bürger
      1199 | Gesetz über die Herkunftsbezeichnung des Hopfens
      1192 | Zweites Gesetz zur Regelung von Fragen der Staatsangehörigkeit
      1190 | Gesetz zur Durchführung der Rechtsakte der Europäischen Union über Qualitätsregelungen betreffend garantiert traditionelle Spezialitäten und fakultative Qualitätsangaben
      1190 | Gesetz über die Verjährung von deutschen Auslandsschulden und ähnlichen Schulden
      1185 | Gesetz, betreffend die Anfechtung von Rechtshandlungen eines Schuldners außerhalb des Konkursverfahrens
      1185 | Zweites Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1959
      1179 | Erstes Gesetz zur Neuregelung des Besoldungsrechts
      1174 | Gesetz zur Ergänzung des Reichssiedlungsgesetzes
      1173 | Gesetz zu dem Vertrag vom 3. August 1990 zur Vorbereitung und Durchführung der ersten gesamtdeutschen Wahl des Deutschen Bundestages zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik sowie dem Änderungsvertrag vom 20. August 1990
      1170 | Arbeitsgesetzbuch der Deutschen Demokratischen Republik
      1167 | Gesetz über Straffreiheit
      1164 | Bundespolizeibeamtengesetz
      1153 | Gesetz zu dem Vertrag vom 31. August 1990 zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik über die Herstellung der Einheit Deutschlands - Einigungsvertragsgesetz - und der Vereinbarung vom 18. September 1990
      1151 | Gesetz zur Reform der gesetzlichen Rentenversicherung
      1146 | Verkehrsfinanzgesetz 1955
      1142 | Gesetz zur Ausführung der EWG-Verordnung über die Europäische wirtschaftliche Interessenvereinigung
      1133 | Gesetz über die Statistik der Seeschiffahrt
      1132 | Gesetz über die Festsetzung von Mindestarbeitsbedingungen
      1131 | Gesetz zum Schutz von Embryonen
      1120 | Gesetz über den Grunderwerb für die Kanalisierung der Mittelweser
      1118 | Gesetz über die Statistik für das Hochschulwesen sowie für die Berufsakademien
      1112 | Gesetz über die Tilgung von Ausgleichsforderungen
      1105 | Gesetz zu dem Vertrag vom 12. Oktober 1990 zwischen der Bundesrepublik Deutschland und der Union der Sozialistischen Sowjetrepubliken über die Bedingungen des befristeten Aufenthalts und die Modalitäten des planmäßigen Abzugs der sowjetischen Truppen aus dem Gebiet der Bundesrepublik Deutschland
      1090 | Gesetz über die Verminderung der Personalstärke der Streitkräfte
      1089 | Gesetz über die Rechtsverhältnisse der Mitglieder des Europäischen Parlaments aus der Bundesrepublik Deutschland
      1088 | Erstes Gesetz zur Reform des Ehe- und Familienrechts
      1086 | Gesetz über Straffreiheit
      1082 | Gesetz zur Aufbesserung von Leistungen aus Renten- und Pensionsversicherungen sowie aus Kapitalzwangsversicherungen
      1080 | Gesetz über das Verwaltungsverfahren der Kriegsopferversorgung
      1079 | Gesetz über die Errichtung eines Fonds "Deutsche Einheit"
      1078 | Gesetz zur Feststellung von rechtswidrigen Handlungen mit Wirkung auf die Währungsumstellung von Mark der Deutschen Demokratischen Republik in Deutsche Mark
      1077 | Gesetz zur Änderung von Vorschriften des Verschollenheitsrechts
      1075 | Gesetz über die Anpassung von Kreditverträgen an Marktbedingungen sowie über Ausgleichsleistungen an Kreditnehmer
      1072 | Bundesbahngesetz
      1071 | Drittes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1960
      1069 | Gesetz über Statistiken der Rohstoff- und Produktionswirtschaft einzelner Wirtschaftszweige
      1057 | Gesetz zum Zweiten Abkommen vom 16. August 1960 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika über gewisse Angelegenheiten, die sich aus der Bereinigung deutscher Dollarbonds ergeben
      1046 | Gesetz über den Beruf des Diätassistenten
      1046 | Gesetz über die Verwaltung des ERP-Sondervermögens
      1042 | Gesetz über den Beruf des Logopäden
      1041 | Gesetz zur Prüfung von Rechtsanwaltszulassungen, Notarbestellungen und Berufungen ehrenamtlicher Richter
      1024 | Gesetz über die Zusammenarbeit von Bund und Ländern in Angelegenheiten der Europäischen Union
       997 | Gesetz über den Beruf der Ergotherapeutin und des Ergotherapeuten
       993 | Gesetz zur Einführung von Bundesrecht auf den Gebieten der Arbeitsbedingungen und des Familienlastenausgleichs im Saarland
       985 | Achtes Gesetz zur Änderung des Lastenausgleichsgesetzes (Gesetz nach § 246 LAG - 8. ÄndG LAG)
       983 | Gesetz zur Beschleunigung der Planungen für Verkehrswege in den neuen Ländern sowie im Land Berlin
       981 | Fünftes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
       965 | Gesetz über die Statistik im Handel und Gastgewerbe
       965 | Gesetz über die Gemeinschaftsaufgabe "Verbesserung der Agrarstruktur und des Küstenschutzes"
       964 | Gesetz zur Weiterentwicklung des Rechts der gesetzlichen Krankenversicherung
       958 | Erstes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1958
       946 | Gesetz zur Errichtung einer Stiftung "Haus der Geschichte der Bundesrepublik Deutschland" (Artikel 1 d. Gesetzes zur Errichtung einer Stiftung "Haus der Geschichte der Bundesrepublik Deutschland")
       943 | Gesetz über die Gewährung einer Vergütung für die Aufgabe der Milcherzeugung für den Markt
       943 | Gesetz über Änderungen von Vorschriften des Zweiten Buches der Reichsversicherungsordnung und zur Ergänzung des Sozialgerichtsgesetzes
       940 | Rechtsberatungsgesetz
       935 | Gesetz über die Statistik der Binnenschiffahrt
       927 | Gesetz zu dem Abkommen vom 9. Oktober 1975 zwischen der Bundesrepublik Deutschland und der Volksrepublik Polen über Renten- und Unfallversicherung nebst der Vereinbarung hierzu vom 9. Oktober 1975
       926 | Gesetz zur Neuordnung des Eisenbahnwesens
       926 | Drittes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
       924 | Gesetz über den Beruf der Orthoptistin und des Orthoptisten
